,genres,id
0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238
1,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278
2,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",240
3,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424
4,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19404
5,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",129
6,"[{'id': 18, 'name': 'Drama'}]",389
7,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",372058
8,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",496243
9,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155
10,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",497
11,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680
12,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13
13,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122
14,"[{'id': 37, 'name': 'Western'}]",429
15,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",769
16,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",569094
17,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11216
18,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",637
19,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",346
20,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",696374
21,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",12477
22,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",772071
23,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",667257
24,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",539
25,"[{'id': 18, 'name': 'Drama'}]",550
26,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",620249
27,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",311
28,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",704264
29,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",598
30,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",724089
31,"[{'id': 18, 'name': 'Drama'}]",510
32,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",14537
33,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",157336
34,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}]",372754
35,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",324857
36,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",761053
