,id,keywords
0,238,"[{'id': 131, 'name': 'italy'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 699, 'name': 'love at first sight'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1295, 'name': 'europe'}, {'id': 1715, 'name': 'symbolism'}, {'id': 4677, 'name': 'patriarch'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 11001, 'name': 'religion'}, {'id': 15095, 'name': 'revenge motive'}, {'id': 33421, 'name': 'crime family'}, {'id': 155538, 'name': 'sicilian mafia'}, {'id': 156043, 'name': 'religious hypocrisy'}, {'id': 163656, 'name': 'gun violence'}, {'id': 165725, 'name': 'rise to power'}, {'id': 180173, 'name': 'dead horse'}, {'id': 181858, 'name': 'gang violence'}, {'id': 207883, 'name': '1940s'}, {'id': 208611, 'name': '1950s'}, {'id': 257630, 'name': 'mafia war'}]"
1,278,"[{'id': 378, 'name': 'prison'}, {'id': 417, 'name': 'corruption'}, {'id': 796, 'name': 'police brutality'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 2885, 'name': 'prison cell'}, {'id': 4779, 'name': 'delinquent'}, {'id': 8622, 'name': 'parole board'}, {'id': 9777, 'name': 'prison escape'}, {'id': 12662, 'name': 'wrongful imprisonment'}, {'id': 180172, 'name': 'framed for murder'}, {'id': 207883, 'name': '1940s'}, {'id': 236369, 'name': 'voiceover'}]"
2,240,"[{'id': 131, 'name': 'italy'}, {'id': 700, 'name': 'italian american'}, {'id': 701, 'name': 'cuba'}, {'id': 1715, 'name': 'symbolism'}, {'id': 3149, 'name': 'gangster'}, {'id': 4232, 'name': 'melancholy'}, {'id': 6049, 'name': 'praise'}, {'id': 9748, 'name': 'revenge'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10391, 'name': 'mafia'}, {'id': 10909, 'name': 'lawyer'}, {'id': 14632, 'name': 'suburb'}, {'id': 156024, 'name': 'corrupt politician'}]"
3,424,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 1382, 'name': 'factory'}, {'id': 1631, 'name': 'concentration camp'}, {'id': 1701, 'name': 'hero'}, {'id': 1739, 'name': 'holocaust (shoah)'}, {'id': 1799, 'name': 'ss (nazi schutzstaffel)'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2433, 'name': 'jew persecution'}, {'id': 2446, 'name': 'kraków, poland'}, {'id': 2450, 'name': 'auschwitz-birkenau concentration camp'}, {'id': 2456, 'name': 'industrialist'}, {'id': 2652, 'name': 'nazi'}, {'id': 3599, 'name': 'defense industry'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 12995, 'name': 'historical fiction'}, {'id': 12999, 'name': 'black and white'}, {'id': 13008, 'name': 'train'}, {'id': 21747, 'name': 'poland'}, {'id': 234812, 'name': 'weapons manufacturer'}]"
4,19404,"[{'id': 2783, 'name': ""family's daily life""}, {'id': 3371, 'name': 'family history'}, {'id': 7277, 'name': 'love-hate relationship'}, {'id': 12279, 'name': 'family drama'}, {'id': 14720, 'name': 'love affair'}]"
5,129,"[{'id': 616, 'name': 'witch'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 2343, 'name': 'magic'}, {'id': 3762, 'name': 'darkness'}, {'id': 4652, 'name': 'bath house'}, {'id': 13153, 'name': 'spirit'}, {'id': 33465, 'name': 'parallel world'}, {'id': 155582, 'name': 'amusement park'}, {'id': 196509, 'name': 'youkai'}, {'id': 207695, 'name': 'japanese mythology'}, {'id': 210024, 'name': 'anime'}]"
6,389,"[{'id': 934, 'name': 'judge'}, {'id': 1417, 'name': 'jurors'}, {'id': 2118, 'name': 'sultriness'}, {'id': 2122, 'name': 'death penalty'}, {'id': 2123, 'name': 'father murder'}, {'id': 2124, 'name': 'puerto rico'}, {'id': 2142, 'name': 'anonymity'}, {'id': 3012, 'name': 'court case'}, {'id': 3772, 'name': 'heat'}, {'id': 6069, 'name': 'class'}, {'id': 6139, 'name': 'innocence'}, {'id': 6148, 'name': 'court'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 12999, 'name': 'black and white'}, {'id': 33519, 'name': 'courtroom'}, {'id': 214780, 'name': 'courtroom drama'}, {'id': 234041, 'name': 'one location'}]"
7,372058,"[{'id': 4379, 'name': 'time travel'}, {'id': 4776, 'name': 'race against time'}, {'id': 4803, 'name': 'comet'}, {'id': 5096, 'name': 'natural disaster'}, {'id': 6152, 'name': 'supernatural'}, {'id': 6155, 'name': 'afterlife'}, {'id': 9840, 'name': 'romance'}, {'id': 10873, 'name': 'school'}, {'id': 33721, 'name': 'body-swap'}, {'id': 157171, 'name': 'nonlinear timeline'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 210024, 'name': 'anime'}, {'id': 278832, 'name': 'dreams'}]"
8,496243,"[{'id': 5732, 'name': 'birthday party'}, {'id': 5752, 'name': 'private lessons'}, {'id': 9866, 'name': 'basement'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10453, 'name': 'con artist'}, {'id': 11935, 'name': 'working class'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 14514, 'name': 'class differences'}, {'id': 17997, 'name': 'housekeeper'}, {'id': 18015, 'name': 'tutor'}, {'id': 18035, 'name': 'family'}, {'id': 33421, 'name': 'crime family'}, {'id': 198673, 'name': 'unemployed'}, {'id': 237462, 'name': 'wealthy family'}, {'id': 261681, 'name': 'south korea'}, {'id': 290327, 'name': 'seoul, south korea'}]"
9,155,"[{'id': 853, 'name': 'crime fighter'}, {'id': 1308, 'name': 'secret identity'}, {'id': 2095, 'name': 'anti hero'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4426, 'name': 'sadism'}, {'id': 4630, 'name': 'chaos'}, {'id': 7002, 'name': 'vigilante'}, {'id': 9537, 'name': 'joker'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 10044, 'name': 'tragic hero'}, {'id': 10291, 'name': 'organized crime'}, {'id': 14625, 'name': 'anti villain'}, {'id': 18023, 'name': 'criminal mastermind'}, {'id': 33518, 'name': 'district attorney'}, {'id': 33637, 'name': 'super power'}, {'id': 163074, 'name': 'super villain'}, {'id': 207268, 'name': 'neo-noir'}]"
