,id,title,overview,poster_path,popularity,release_date,vote_average,original_language,vote_average,vote_count,release_date
0,238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,129.844,1972-03-14,8.7,en,8.7,18502,1972-03-14
1,278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,134.708,1994-09-23,8.7,en,8.7,24461,1994-09-23
2,240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",/bMadFzhjy9T7R8J48QGq1ngWNAK.jpg,75.052,1974-12-20,8.6,en,8.6,11184,1974-12-20
3,424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,60.787,1993-12-15,8.6,en,8.6,14451,1993-12-15
4,19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg,39.667,1995-10-20,8.6,hi,8.6,4231,1995-10-20
5,129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,110.582,2001-07-20,8.5,ja,8.5,14777,2001-07-20
6,389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,43.587,1957-04-10,8.5,en,8.5,7564,1957-04-10
7,372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",/q719jXXEzOoYaps6babgKnONONX.jpg,93.396,2016-08-26,8.5,ja,8.5,10185,2016-08-26
8,496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,77.768,2019-05-30,8.5,ko,8.5,16270,2019-05-30
9,155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,97.926,2008-07-14,8.5,en,8.5,30398,2008-07-14
